id,name,region,category_level_1,category_level_2,products
鄂AIQ-2024-001,武汉达梦数据技术有限公司,东湖高新区,基础资源类,数据,主要包括云计算系列和大数据系列产品，将云计算平台与达梦自研的国产关系数据库深度融合，为用户提供数据应用、数据治理、数据存储、数据采集等方面的产品
鄂AIQ-2024-050,武汉达梦数据库股份有限公司,东湖高新区,基础资源类,数据,主要为客户提供数据采集、存储、治理、分析和应用等方面的技术，主要产品包括达梦数据库管理系统、达梦数据共享集群DMDCS、达梦分布式数据库DMDPC
鄂AIQ-2024-074,武汉索元数据信息有限公司,东湖高新区,基础资源类,数据,汇聚全量产业大数据，结合独有算法，通过湖仓一体的大数据存储和多源数据融合的方式打造城市级情报分析平台，主要产品“Outlier™”“百业先知™”
鄂AIQ-2024-002,武汉数智科技有限公司,东湖高新区,基础资源类,算力,围绕“双中心”AI+HPC算力底座，建设400P Flops AI算力和4P Flops HPC算力的硬件服务设施，面向行业开放数据、算法和算力，支撑大型数据和算力需求
鄂AIQ-2024-004,武汉长江计算科技有限公司,东湖高新区,基础资源类,算力,作为算力基础设施国家队，为客户提供多样化算力基础设施产品，包括通用服务器、AI服务器、存储服务器、桌面终端等
鄂AIQ-2024-003,中金数据（武汉）超算技术有限公司,东西湖区,基础资源类,算力,提供企业级“专有云”“混合云”等多元化云服务解决方案，运算能力达100万亿次，存储能力达10PB，平台运算能力达千万亿次
鄂AIQ-2024-005,武汉迈异信息科技有限公司,洪山区,基础资源类,算力,首创分布式云网融合技术架构，部署算力统一运营平台，实现异构算力资源统一纳管，提供算力、AI能力接入、模型训练、推理服务等
鄂AIQ-2024-006,武汉人工智能研究院,东湖高新区,基础资源类,算法框架及平台,“紫东太初3.0”大模型、“江城智算”AI内容创作平台、“百变悟空”AI作画平台
鄂AIQ-2024-051,武汉长江通信产业集团股份有限公司,东湖高新区,技术类,关键通用技术与产品,DS知识图谱构建及认知智能服务平台软件、DS人工智能应用服务平台软件、知识图谱应用软件
鄂AIQ-2024-052,武汉大水云科技有限公司,东湖高新区,技术类,关键通用技术与产品,武大AiFlow视觉测流产品深度融合计算机视觉技术、机器学习多种视觉图像流算法
鄂AIQ-2024-106,武汉智启特人工智能科技有限公司,东湖高新区,技术类,关键通用技术与产品,AI创作平台网页系统、智能体AI学术助手网页系统、智能体AI绘图网页系统
鄂AIQ-2024-049,中科心语（武汉）科技有限公司,东湖高新区,技术类,关键领域技术与产品,以语言AI为核心，打造数据加工平台、飞译翻译平台、洞察分析平台、语言AI技术和数据服务
鄂AIQ-2024-057,武汉大晟极科有限公司,东湖高新区,技术类,关键领域技术与产品,大数据感知融合应用平台、语言指令与交互系统、大模型AI数字人平台
鄂AIQ-2024-105,武汉摩序科技有限公司,东湖高新区,技术类,关键领域技术与产品,一种移动式巡检机器人、基于机器视觉的打磨机器人、智能巡检一体化系统
鄂AIQ-2024-007,东云智算（武汉）计算技术有限公司,东湖高新区,技术类,支撑技术与产品,OMAI深度学习平台、OMAI大模型聚合平台、OMLLM大模型算法建模软件
鄂AIQ-2024-009,中治武勘智城（武汉）工程技术有限公司,东湖高新区,技术类,支撑技术与产品,中治武勘智城物联网平台、工业三维可视化平台、工厂数字孪生系统
鄂AIQ-2024-046,武汉智链云科技有限公司,东湖高新区,技术类,支撑技术与产品,云原生Kubernetes大数据平台、云原生大型语言模型微服务调度平台
鄂AIQ-2024-058,武汉慧联无限科技有限公司,东湖高新区,技术类,支撑技术与产品,云边协同边缘设备接入与计算平台、AI算法模型调度平台、数字孪生平台
鄂AIQ-2024-069,武汉科讯智园科技服务有限公司,东湖高新区,技术类,支撑技术与产品,企业智能园区平台、园区巡检AR眼镜、园区巡检四足机器人
鄂AIQ-2024-083,武汉噢易云计算股份有限公司,东湖高新区,技术类,支撑技术与产品,噢易云计算教育桌面云软件、噢易多架构融合桌面云平台、噢易分布式桌面云系统
鄂AIQ-2024-089,武汉数聚速达网络科技有限责任公司,东湖高新区,技术类,支撑技术与产品,AI视频预警分析系统、无人机全自动巡检系统、AI智能识别软件
鄂AIQ-2024-010,武汉兴和云网科技股份有限公司,洪山区,技术类,支撑技术与产品,AI人工智能算力系统、兴和HPC智能算力平台、YOUBOX人工智能深度学习云平台
鄂AIQ-2024-008,宝信软件（武汉）有限公司,青山区,技术类,支撑技术与产品,宝信工业互联网平台、宝信数字孪生平台、工业大数据智能分析平台
鄂AIQ-2025-002,中软信通（宜昌）科技有限公司,宜昌西陵区,技术类,支撑技术与产品,物联网超融合云平台、生态物联网感知系统、视频超融合平台系统
鄂AIQ-2024-022,武汉光庭信息技术股份有限公司,东湖高新区,产品应用服务类,产品与服务,光庭智能驾驶域控平台、智能座舱域控平台，形成以智能座舱、智能驾驶、智能车云、新能源为核心的综合解决方案
鄂AIQ-2024-094,武汉中海庭数据技术有限公司,东湖高新区,产品应用服务类,产品与服务,自动驾驶地图数据采集、点云感知与图像融合、道路要素智能提取
鄂AIQ-2024-044,武汉淼森科技股份有限公司,东湖高新区,产品应用服务类,产品与服务,智能喷涂机器人、虚拟仿真模拟器，采用VR仿真技术实现智能化喷涂训练
鄂AIQ-2024-098,武汉格蓝若智能科技股份有限公司,东湖高新区,产品应用服务类,产品与服务,“劳动者1号”人形机器人、超精密运动控制系统
鄂AIQ-2024-018,语联讯（武汉）信息技术有限公司,东湖高新区,产品应用服务类,产品与服务,语言智能平台、AI翻译引擎、语音识别与自然语言处理系统
鄂AIQ-2024-043,武汉泽天科技有限公司,东湖高新区,产品应用服务类,产品与服务,浮点数值计算平台、通用并行计算框架、AI算法引擎
鄂AIQ-2024-042,湖北中文在线数字出版有限公司,汉阳区,产品应用服务类,产品与服务,数字出版管理平台、智能内容生产系统、多媒体融合发布系统
鄂AIQ-2024-031,传神语联网网络科技股份有限公司,东湖高新区,产品应用服务类,产品与服务,机器翻译平台、智能语音交互系统、跨语言信息处理技术
鄂AIQ-2024-056,武汉亚为电子科技有限公司,东湖高新区,产品应用服务类,产品与服务,工业自动化控制系统、智能制造执行系统、工业数据采集与分析平台
鄂AIQ-2024-075,武汉纬创软件有限公司,东湖高新区,产品应用服务类,产品与服务,人工智能数据处理平台、智能运维管理系统、AI视觉检测系统
